id_pessoa,data_inicio,data_fim,equipe,nivel,cargo
2302206,,,Website,Gerente,Desenvolvedor Front-End
3146107,,,Administrativo,,Analista Administrativo
2919702,,2022-08-05,Dados,Gerente,Gestora de Dados
2412559,,,Administrativo,,
1100015,,,Conselho Fiscal,,Membro do Conselho Fiscal
3504008,,,Co-fundadores,,Co-fundador
3504008,,,Infraestrutura,,
3504008,,,Dados,,
3504008,,,Associados,,Associado
2903201,,,"Captação, Parcerias e Projetos",Gerente,Gerente de Projetos
2107308,,,Co-fundadores,,Co-fundadora
2107308,,,,Diretora Executiva,Diretora Executiva
2107308,,,Comunicação,,
2107308,,,Associados,,Associada
1100023,,,Co-fundadores,,Co-fundador
1100023,,,Infraestrutura,,
1100023,,,Associados,,Associado
3509502,,,Comunicação,Gerente,Gestor de Comunicação
4300455,,,Infraestrutura,Analista,Engenheiro DevOps
2707602,,,Dados,Analista,Analista de Dados
2308708,,,Dados,Analista,Analista de Dados
1100031,,,Conselho Fiscal,,Membra do Conselho Fiscal
3526001,,,Co-fundadores,,Co-fundador
3526001,,,Infraestrutura,,
3526001,,,"Captação, Parcerias e Projetos",,
3526001,,,Associados,,Associado
4101804,,,Dados,Gerente,Gerente de Dados
3306305,,,Dados,Analista,Analista de Dados
3548906,,,Infraestrutura,Gerente,Gerente de Infraestrutura
1100049,,,"Captação, Parcerias e Projetos",,Líder de Parcerias e Projetos
1100049,,,,,Diretor Financeiro
1100049,,,Associados,,Associado
3554003,2021-04-01,,Comunicação,Analista,Analista de Criação
3554003,2021-10-01,,Website,Analista,
2919306,2019-10-15,,Co-fundadores,,Co-fundador
2919306,2021-06-15,,,Presidente,Presidente
2919306,,,Dados,,
2919306,,,"Captação, Parcerias e Projetos",,
2919306,,,Associados,,Associado
1100056,,,Conselho Fiscal,,Membro do Conselho Fiscal
4115606,,2022-08-18,Dados,Assistente,Assistente de Dados
5103700,,2022-08-18,Dados,Assistente,Assistente de Dados
5103437,,2022-08-18,Website,Gerente,
5103304,,2022-08-18,Infraestrutura,Assistente,Assistente de Infraestrutura
3101201,,2022-08-18,Infraestrutura,Analista,Analista de Infraestrutura
1200807,,2022-08-18,Dados,Analista,Analista de Dados
